players,level,easy_xp,medium_xp,hard_xp,deadly_xp
1,1,25,50,75,100
1,2,50,100,150,200
1,3,75,150,225,300
1,4,125,250,375,500
1,5,250,500,750,1100
1,6,300,600,900,1400
1,7,350,750,1100,1700
1,8,450,900,1400,2100
1,9,550,1100,1600,2400
1,10,600,1200,1900,2800
1,11,800,1600,2400,3600
1,12,1000,2000,3000,4500
1,13,1100,2200,3400,5100
1,14,1250,2500,3800,5700
1,15,1400,2800,4300,6400
1,16,1600,3200,4800,7200
1,17,2000,3900,5900,8800
1,18,2100,4200,6300,9500
1,19,2400,4900,7300,10900
1,20,2800,5700,8500,12700
2,1,50,100,150,200
2,2,100,200,300,400
2,3,150,300,450,600
2,4,250,500,750,1000
2,5,500,1000,1500,2200
2,6,600,1200,1800,2800
2,7,700,1500,2200,3400
2,8,900,1800,2800,4200
2,9,1100,2200,3200,4800
2,10,1200,2400,3800,5600
2,11,1600,3200,4800,7200
2,12,2000,4000,6000,9000
2,13,2200,4400,6800,10200
2,14,2500,5000,7600,11400
2,15,2800,5600,8600,12800
2,16,3200,6400,9600,14400
2,17,4000,7800,11800,17600
2,18,4200,8400,12600,19000
2,19,4800,9800,14600,21800
2,20,5600,11400,17000,25400
3,1,75,150,225,300
3,2,150,300,450,600
3,3,225,450,675,900
3,4,375,750,1125,1500
3,5,750,1500,2250,3300
3,6,900,1800,2700,4200
3,7,1050,2250,3300,5100
3,8,1350,2700,4200,6300
3,9,1650,3300,4800,7200
3,10,1800,3600,5700,8400
3,11,2400,4800,7200,10800
3,12,3000,6000,9000,13500
3,13,3300,6600,10200,15300
3,14,3750,7500,11400,17100
3,15,4200,8400,12900,19200
3,16,4800,9600,14400,21600
3,17,6000,11700,17700,26400
3,18,6300,12600,18900,28500
3,19,7200,14700,21900,32700
3,20,8400,17100,25500,38100
4,1,100,200,300,400
4,2,200,400,600,800
4,3,300,600,900,1200
4,4,500,1000,1500,2000
4,5,1000,2000,3000,4400
4,6,1200,2400,3600,5600
4,7,1400,3000,4400,6800
4,8,1800,3600,5600,8400
4,9,2200,4400,6400,9600
4,10,2400,4800,7600,11200
4,11,3200,6400,9600,14400
4,12,4000,8000,12000,18000
4,13,4400,8800,13600,20400
4,14,5000,10000,15200,22800
4,15,5600,11200,17200,25600
4,16,6400,12800,19200,28800
4,17,8000,15600,23600,35200
4,18,8400,16800,25200,38000
4,19,9600,19600,29200,43600
4,20,11200,22800,34000,50800
5,1,125,250,375,500
5,2,250,500,750,1000
5,3,375,750,1125,1500
5,4,625,1250,1875,2500
5,5,1250,2500,3750,5500
5,6,1500,3000,4500,7000
5,7,1750,3750,5500,8500
5,8,2250,4500,7000,10500
5,9,2750,5500,8000,12000
5,10,3000,6000,9500,14000
5,11,4000,8000,12000,18000
5,12,5000,10000,15000,22500
5,13,5500,11000,17000,25500
5,14,6250,12500,19000,28500
5,15,7000,14000,21500,32000
5,16,8000,16000,24000,36000
5,17,10000,19500,29500,44000
5,18,10500,21000,31500,47500
5,19,12000,24500,36500,54500
5,20,14000,28500,42500,63500
6,1,150,300,450,600
6,2,300,600,900,1200
6,3,450,900,1350,1800
6,4,750,1500,2250,3000
6,5,1500,3000,4500,6600
6,6,1800,3600,5400,8400
6,7,2100,4500,6600,10200
6,8,2700,5400,8400,12600
6,9,3300,6600,9600,14400
6,10,3600,7200,11400,16800
6,11,4800,9600,14400,21600
6,12,6000,12000,18000,27000
6,13,6600,13200,20400,30600
6,14,7500,15000,22800,34200
6,15,8400,16800,25800,38400
6,16,9600,19200,28800,43200
6,17,12000,23400,35400,52800
6,18,12600,25200,37800,57000
6,19,14400,29400,43800,65400
6,20,16800,34200,51000,76200
